episode,timestep,reward
3,8000,[-3480.9198 -4439.3471 -2564.525  -4399.7922 -2053.7202]
6,16000,[-1911.7219 -4027.8175 -3596.5967 -2313.3879  -939.7588]
10,24000,[-3160.6785 -2094.5215 -3148.0915 -4643.3373 -4160.5574]
14,32000,[-3638.2011 -4131.7022 -4276.6515 -4049.0153 -1338.7567]
18,40000,[-3963.946  -3243.0539 -3396.8509 -4495.0693 -2569.6556]
23,48000,[-3595.519  -3062.4697 -4038.7055 -3551.6494 -4555.6026]
28,56000,[-3272.0356 -3198.2048 -3928.5681 -2967.6367 -3322.1654]
34,64000,[-4036.9615 -3937.4867 -3608.6697 -4258.7562 -3984.4283]
36,72000,[ -631.6894 -1515.4225 -4391.6918 -1970.1015 -4366.6088]
39,80000,[-3280.6634 -1341.6382 -4427.2802 -2945.3734 -4237.4809]
45,88000,[-3758.0828 -3887.9427 -4098.0311 -3977.8471 -4467.7443]
49,96000,[-3170.2176 -3903.6655 -2563.6919 -4307.8063 -3882.4652]
53,104000,[-4678.0607 -3140.2652 -2865.0241 -3706.1351 -4791.1271]
57,112000,[-4637.46   -3138.6766 -4235.6294 -2726.5567 -3364.6748]
62,120000,[-4466.259  -2691.0018 -3343.6347 -4586.5056 -3582.515 ]
66,128000,[-3649.3641 -3667.7115 -4802.9611 -2289.5126 -3689.3234]
69,136000,[-3506.1338 -2381.0533 -4168.651  -4575.3576 -3573.447 ]
