episode,timestep,reward
1,8000,[4092.4882 5322.2614 1392.987  7205.8173 8351.7563]
3,16000,[2760.2839 5994.2782 4398.4901 8582.5836 3589.0504]
5,24000,[7635.3415 6839.4328 5140.4778 6193.3205 3147.4021]
8,32000,[5641.599  3161.0623 5510.6797 1010.828  2352.2219]
10,40000,[4313.4305 3789.2642 5465.6777 3106.3226  836.3521]
12,48000,[4296.409   645.0029 8834.8059 4873.1854 4236.636 ]
14,56000,[4745.1173 5227.751  7171.5921 8324.9369 1235.8874]
16,64000,[1193.3681 3631.3732 5033.3372 4470.5748 3759.1871]
18,72000,[3441.555  1533.7349 5005.4587 5108.3678 4927.6462]
20,80000,[4905.7109 1987.796  4051.7293 3447.2445 8678.619 ]
22,88000,[ 742.1996 3060.0887 5391.9666 2217.999  5212.0078]
24,96000,[ 4854.6254  3583.1702  4435.4176 -1796.4104  2496.2312]
26,104000,[4379.2487 4481.8774 3007.2983 8752.7946 3511.2836]
28,112000,[4347.5143 3950.8158 4606.1393 5656.7632 4183.2147]
30,120000,[4956.4823 3576.353  8530.8315 5569.6741 4614.7147]
32,128000,[2985.4732 8212.3787 4909.6973 5160.3401 4395.7917]
34,136000,[ 150.233  3985.7606 3276.3921 3276.4988 3547.2347]
36,144000,[1360.6807 3748.548  2735.1653 1203.5965 4178.3853]
38,152000,[3776.934  4372.0071 6166.4442 3571.8448  141.8742]
40,160000,[3459.7285 3600.0028 3328.4905 4551.4667 2479.3784]
42,168000,[3261.2264 3362.3781 7853.147  5494.7364 4797.9835]
44,176000,[5839.8214 5120.8091 1870.8259   83.5629 6557.3472]
46,184000,[4792.9487 3338.7195 3553.3183 1400.0344 4610.8062]
48,192000,[6060.1288 2582.5846 4172.4971 2509.2567 2653.8284]
50,200000,[5128.171  1935.3163 2399.1511 4175.1329 7172.6643]
52,208000,[4670.4455 2030.4316 6944.6682 6400.5727 4032.1173]
54,216000,[5861.7264 3533.6406 5024.6865 2743.1211 7568.5365]
56,224000,[7628.4746  671.7996 4445.7006 2765.9992 2955.3234]
58,232000,[6518.763  5759.3968 2736.969  3007.4024 2458.4061]
60,240000,[3521.8798 1478.4203 2296.6087 5027.5631 6467.7006]
62,248000,[ 6598.2364  3612.1767  2261.144   1774.2047 -1484.8112]
64,256000,[5163.1236 2657.0075 8832.9576 1069.0714 5827.0546]
66,264000,[ 6699.8818  4607.0047 -2347.8558  4778.3211  6826.4082]
68,272000,[3873.1349 2698.9967 6188.0804 5925.0561 8746.3044]
70,280000,[3662.1318 4044.8543 4913.4015 5184.9116 4752.0722]
72,288000,[7532.873  5071.7447 4168.2294 6511.6437 9531.1962]
74,296000,[7725.8457 3921.4385 4624.947  3396.4709 3410.935 ]
76,304000,[5778.1717 1613.132  4929.0397 7669.0147 5086.9889]
78,312000,[5690.966  2668.6362 4994.1967 8583.232  4568.2109]
80,320000,[5455.797  4055.6824 3378.4102 3553.4063 8333.0207]
