episode,timestep,reward
2,8000,[-409.6751  392.6547 -139.8027 4638.0684  812.5799]
5,16000,[  580.2635 -1678.9684   656.7945   860.9893 -1371.9791]
8,24000,[ 230.0502  703.0243  177.9968  915.9702 1154.5727]
10,32000,[ 1190.9391  -310.5884  1948.9806   994.0467 -1531.0227]
12,40000,[ -592.1946 -2262.9415   804.8908  1249.5152  1015.2824]
15,48000,[ 193.26    887.9394 3476.3353 1841.4029  -97.7352]
17,56000,[-650.4357 3361.1651  259.8833  -80.47    835.8111]
19,64000,[ 5088.2992  -881.137  -1109.5929  2151.8916  1681.8112]
22,72000,[  136.6538  -887.5723  1854.5654 -1968.8718  -285.6527]
24,80000,[  322.9598  1279.8052   341.3677 -3412.606    230.4904]
27,88000,[-176.2996  581.5937 2507.4951  272.2563  107.4405]
30,96000,[1099.8604  601.6081  347.8252 1985.1134 2372.841 ]
33,104000,[-1172.4224   289.9098   671.2573   115.9026   692.4556]
35,112000,[ 2522.643   1730.4032  1857.1174   346.2807 -1277.6826]
37,120000,[ 1395.3435 -2109.8415  -278.6933  -577.3336   -49.5442]
40,128000,[  666.3522    74.5284   792.1369   642.1019 -1193.2624]
42,136000,[ 462.3954  928.9532 3512.5012  697.1771 3226.5062]
45,144000,[ -622.775   1981.2411 -1046.0541 -1285.2337   870.5954]
47,152000,[ 2246.3067 -2831.889   1224.8593   434.578    490.3856]
50,160000,[ 965.3832  410.3063 1187.8023  328.4055 1047.1862]
53,168000,[ 424.7265   85.9054  351.3826  593.2319 1252.9616]
55,176000,[1236.2272  346.1129 2023.0997 1510.5844  850.2806]
58,184000,[  10.4198 1342.2081 -295.3997 1151.7319 -811.2931]
60,192000,[-759.65   -922.0792 1612.3219  263.1536 2188.4416]
64,200000,[ 1112.1597   619.4342   550.8531  -311.7912 -1279.8683]
66,208000,[1019.7168 -299.4963  271.2058 1667.4088 2871.3959]
68,216000,[ -21.8944 -216.5896 1118.1808  191.8062 1813.8743]
70,224000,[-1031.1625   873.0506  1217.3564  1252.3248   897.8573]
73,232000,[ 585.314   274.0954  945.2773 -287.2377  807.5884]
75,240000,[ 3565.6877  1136.222    603.9972 -1328.3241   411.59  ]
78,248000,[ -630.1734 -1702.6875   687.8692  2055.9559   853.4814]
81,256000,[ 558.0615 -729.6233 1259.4076  155.8352 1142.591 ]
83,264000,[-1262.6135  1562.7354  1420.432    659.7457   802.8199]
86,272000,[-147.4471  806.3287  645.8696  934.6948  205.1682]
88,280000,[3809.8971 2662.7744 -346.3632 1011.0059  340.9379]
90,288000,[1173.1758  430.7964  300.0333  117.0988 2412.3016]
93,296000,[  849.5577  1813.6088   129.3409 -1702.7835  1546.4226]
96,304000,[ 292.4306 1297.5303  790.0873  222.2898 1702.8923]
98,312000,[4481.5612 -355.8369  656.9866 1251.6245 -237.6778]
100,320000,[-580.8918  977.5373 1754.0975 3241.2995 1324.5553]
102,328000,[1473.891   757.4931  894.2361 2014.1996 -769.2506]
105,336000,[1378.2418 1021.7442  909.2689 -632.5818 -799.8276]
108,344000,[ 446.1171  -64.4653 1584.2955  266.9123  448.2316]
110,352000,[1148.0716 1856.6358  824.4816 1188.7248 1512.2133]
112,360000,[ 1196.7053  1541.7784 -1317.5933  1186.9676  -669.3005]
115,368000,[1040.4102 3198.8682 1061.1375 1983.8447  759.2932]
117,376000,[-2136.8262 -1822.2306   914.2952  1325.5153   945.9853]
120,384000,[ 2142.5343 -1528.6826   186.1981  1818.116  -1096.616 ]
123,392000,[992.7451 588.6907 613.213  -50.2404  32.7   ]
126,400000,[-1179.3932   506.1306    54.7114   942.2475   660.6273]
128,408000,[ 1180.6807  3113.8095  1064.5542 -1197.9839  2475.0474]
130,416000,[2304.5118 1638.0215 1537.3005   -2.493   917.4053]
133,424000,[ 324.3982 1953.3135  178.2334 -512.7008 1159.6719]
136,432000,[ 142.5063 1096.1804  394.0073  210.2674 1961.7049]
138,440000,[2192.6947 2003.3698 1914.6483 3456.5828 2219.6302]
140,448000,[1092.3927  962.641  2456.1468  823.0791  691.5695]
143,456000,[-561.2257 1671.3933 2084.4348  571.3161 3998.6721]
146,464000,[-1559.7858   953.6331   499.8163   408.5418   690.8351]
148,472000,[2117.2147  -60.075   789.4191 1673.1629 3362.2854]
151,480000,[1974.244  1145.8259  268.3296 1284.3267  477.019 ]
153,488000,[ 3126.1068  -715.8505  1600.6168  1449.6515 -1569.2106]
156,496000,[2068.5813 1644.7955 2338.4011  834.8107 2266.9321]
159,504000,[-854.3094 1020.148    53.2182  148.0198 -287.1724]
161,512000,[1029.1624  840.7813 1278.6826  963.4278 1381.9928]
164,520000,[1457.0815 -358.8521 1746.348  1032.1279   86.2022]
166,528000,[2780.6628 1288.6762  175.0957 1061.69   1998.8267]
169,536000,[1201.7314 1612.4229 2525.0332  227.6138 1086.1044]
171,544000,[ 1202.2054   750.7747 -1374.5864    18.3697   322.2631]
173,552000,[ 788.1412   26.0153 1364.607  1685.5203  402.5667]
176,560000,[ 1232.6134  2841.3726   194.6489 -1005.8404  1769.1628]
179,568000,[ 181.4292 2051.6906  853.4379  833.9578  374.1567]
181,576000,[  123.3462   535.8251   433.0042 -1317.0541  -453.106 ]
184,584000,[ -73.8711 1051.2415  487.3046 1674.4055  900.8594]
186,592000,[ 693.0437 1152.8765 2885.1629  420.5857  713.2953]
189,600000,[ 265.2658 2587.2473 1043.0065 -559.5095 2122.7602]
191,608000,[-1728.1204  2398.3936 -1532.5083   315.2576  1037.9372]
193,616000,[-6.0575400e+02 -2.6350000e-01  3.2009359e+03  1.8633010e+02
 -1.8477940e+02]
196,624000,[ 785.7552 2181.7612   41.9019 -777.4664 1713.3856]
199,632000,[ 804.6143 1059.6903 2192.2072 -708.0623  710.2466]
201,640000,[2721.3902 1335.486  2687.4158  982.5759  717.001 ]
204,648000,[  37.3013  389.2968  380.7726 3477.0217 2176.5592]
207,656000,[  92.7525  477.2709 1438.4698   81.9024  246.3607]
210,664000,[1162.9515 2884.2218  513.3415 -233.0677  224.7996]
212,672000,[4640.9128 2992.2778  419.5583 2418.233   498.1269]
214,680000,[1163.3596  -11.1234 3296.8692  -19.9482 -360.9777]
217,688000,[ 423.4644 -478.2647 -126.5995 1680.6422 -238.6316]
219,696000,[1347.7765 1870.2371 1470.6163 -743.1005 3729.103 ]
222,704000,[ 864.8302   45.4836 3688.7257  643.4329  477.831 ]
225,712000,[ 936.601  1420.6969  410.0974 2465.3312  -31.4612]
227,720000,[2856.2011 2219.2663  448.3132 -521.9982 -478.9804]
