Epoch: 0, Train Loss: 0.044756729155778885, Test Loss: 0.061237119138240814
Epoch: 1, Train Loss: 0.04354962334036827, Test Loss: 0.04357314109802246
Epoch: 2, Train Loss: 0.04344270005822182, Test Loss: 0.0434022918343544
Epoch: 3, Train Loss: 0.043391525745391846, Test Loss: 0.043349601328372955
Epoch: 4, Train Loss: 0.043388403952121735, Test Loss: 0.04333944618701935
Epoch: 5, Train Loss: 0.04337683692574501, Test Loss: 0.0433356910943985
Epoch: 6, Train Loss: 0.04337286949157715, Test Loss: 0.04333548992872238
Epoch: 7, Train Loss: 0.04336785897612572, Test Loss: 0.043331872671842575
Epoch: 8, Train Loss: 0.043357186019420624, Test Loss: 0.04332819581031799
Epoch: 9, Train Loss: 0.043366439640522, Test Loss: 0.04332476481795311
Epoch: 10, Train Loss: 0.043339721858501434, Test Loss: 0.04332682117819786
Epoch: 11, Train Loss: 0.043359819799661636, Test Loss: 0.043322063982486725
Epoch: 12, Train Loss: 0.043369945138692856, Test Loss: 0.04332081973552704
Epoch: 13, Train Loss: 0.04334383085370064, Test Loss: 0.04331536963582039
Epoch: 14, Train Loss: 0.04333635792136192, Test Loss: 0.04330809414386749
Epoch: 15, Train Loss: 0.04331892356276512, Test Loss: 0.04330512508749962
Epoch: 16, Train Loss: 0.043306224048137665, Test Loss: 0.04329661279916763
Epoch: 17, Train Loss: 0.043275170028209686, Test Loss: 0.04328272491693497
Epoch: 18, Train Loss: 0.043222520500421524, Test Loss: 0.043270453810691833
Epoch: 19, Train Loss: 0.04317105561494827, Test Loss: 0.04324556142091751
Epoch: 20, Train Loss: 0.04304840415716171, Test Loss: 0.04319341480731964
Epoch: 21, Train Loss: 0.043050821870565414, Test Loss: 0.04315737634897232
Epoch: 22, Train Loss: 0.042999766767024994, Test Loss: 0.04308842495083809
Epoch: 23, Train Loss: 0.04291147366166115, Test Loss: 0.04305364936590195
Epoch: 24, Train Loss: 0.042828939855098724, Test Loss: 0.04300636798143387
Epoch: 25, Train Loss: 0.04288594424724579, Test Loss: 0.042964063584804535
Epoch: 26, Train Loss: 0.04285126551985741, Test Loss: 0.04292288422584534
Epoch: 27, Train Loss: 0.042963773012161255, Test Loss: 0.04290934279561043
Epoch: 28, Train Loss: 0.042740125209093094, Test Loss: 0.0428512766957283
Epoch: 29, Train Loss: 0.04259805753827095, Test Loss: 0.042801856994628906
Epoch: 30, Train Loss: 0.04252820834517479, Test Loss: 0.04276414215564728
Epoch: 31, Train Loss: 0.04246116429567337, Test Loss: 0.04268975555896759
Epoch: 32, Train Loss: 0.042395565658807755, Test Loss: 0.04266779497265816
Epoch: 33, Train Loss: 0.04221617057919502, Test Loss: 0.042578138411045074
Epoch: 34, Train Loss: 0.04212432727217674, Test Loss: 0.04249722883105278
Epoch: 35, Train Loss: 0.041947536170482635, Test Loss: 0.042432647198438644
Epoch: 36, Train Loss: 0.04167984053492546, Test Loss: 0.04233311489224434
Epoch: 37, Train Loss: 0.04137621074914932, Test Loss: 0.042179353535175323
Epoch: 38, Train Loss: 0.040977463126182556, Test Loss: 0.041968218982219696
Epoch: 39, Train Loss: 0.04018638655543327, Test Loss: 0.04163825884461403
Epoch: 40, Train Loss: 0.03990008682012558, Test Loss: 0.0413445346057415
Epoch: 41, Train Loss: 0.039498187601566315, Test Loss: 0.0409853532910347
Epoch: 42, Train Loss: 0.03847867622971535, Test Loss: 0.040397919714450836
Epoch: 43, Train Loss: 0.03798418119549751, Test Loss: 0.03988843411207199
Epoch: 44, Train Loss: 0.03749460726976395, Test Loss: 0.03960541635751724
Epoch: 45, Train Loss: 0.036882899701595306, Test Loss: 0.039099059998989105
Epoch: 46, Train Loss: 0.03664841502904892, Test Loss: 0.03855864703655243
Epoch: 47, Train Loss: 0.03558025509119034, Test Loss: 0.03812725096940994
Epoch: 48, Train Loss: 0.0351812019944191, Test Loss: 0.03747183829545975
Epoch: 49, Train Loss: 0.0342726930975914, Test Loss: 0.03703930974006653
Epoch: 50, Train Loss: 0.03336271643638611, Test Loss: 0.03643152490258217
Epoch: 51, Train Loss: 0.03324711322784424, Test Loss: 0.03586732596158981
