episode,timestep,reward
4,800,-956.702
6,1600,-317.5244
8,2400,219.7044
12,3200,-617.8898
16,4000,-886.0825
18,4800,81.337
20,5600,-332.3573
25,6400,-717.8836
27,7200,66.0035
30,8000,-411.3406
33,8800,-570.7688
39,9600,-973.3868
41,10400,-442.0581
44,11200,-877.438
46,12000,-460.8138
49,12800,-198.3573
53,13600,-757.7777
55,14400,37.3911
58,15200,-435.0266
60,16000,-286.9376
63,16800,-598.7578
66,17600,-229.9415
68,18400,-867.6981
72,19200,-651.3224
75,20000,-476.4164
77,20800,246.1719
80,21600,-720.7933
84,22400,-890.7859
86,23200,-317.4688
88,24000,125.7424
91,24800,-898.2225
94,25600,-389.394
99,26400,-959.7645
102,27200,-797.3011
106,28000,-399.569
111,28800,-974.7224
113,29600,-865.1006
116,30400,-333.3333
120,31200,-480.1022
122,32000,266.4288
124,32800,49.0616
128,33600,-790.7745
130,34400,247.0985
132,35200,186.8608
134,36000,-645.4893
138,36800,-571.0154
140,37600,-73.7871
143,38400,-51.6781
