episode,timestep,reward
1,800,132.3066
3,1600,132.8613
5,2400,134.6481
7,3200,132.0581
9,4000,132.3046
11,4800,133.6283
13,5600,132.1597
15,6400,129.6572
17,7200,130.71
19,8000,132.9128
21,8800,134.8722
23,9600,135.9351
25,10400,133.3407
27,11200,135.2016
29,12000,132.6832
31,12800,132.6438
33,13600,131.5922
35,14400,134.8689
37,15200,133.1358
39,16000,132.9571
41,16800,134.3185
43,17600,132.1435
45,18400,132.7403
47,19200,133.5288
49,20000,132.875
51,20800,131.7979
53,21600,130.6408
55,22400,132.6789
57,23200,132.9966
59,24000,132.069
61,24800,130.5851
63,25600,133.7881
65,26400,131.5233
67,27200,131.7849
69,28000,131.532
71,28800,132.144
73,29600,131.981
75,30400,134.6628
77,31200,131.5384
79,32000,133.4753
81,32800,134.1957
83,33600,135.7896
85,34400,130.5339
87,35200,130.0952
89,36000,134.5024
91,36800,134.1581
93,37600,131.2471
95,38400,133.1762
97,39200,133.3477
99,40000,134.1525
101,40800,133.5405
103,41600,133.5357
105,42400,132.0169
107,43200,129.5602
109,44000,132.6619
111,44800,133.1515
113,45600,132.482
115,46400,135.0067
117,47200,130.3604
119,48000,133.4062
121,48800,131.2003
123,49600,132.8157
125,50400,130.8988
127,51200,131.8236
129,52000,132.9106
131,52800,132.5676
133,53600,135.0338
135,54400,131.3699
137,55200,135.8513
139,56000,132.3953
141,56800,134.4383
143,57600,134.8253
145,58400,135.1106
147,59200,133.7513
149,60000,134.4143
151,60800,132.9674
153,61600,133.5383
155,62400,131.6128
157,63200,134.1068
159,64000,132.1149
161,64800,132.7794
163,65600,131.2666
165,66400,133.8463
167,67200,132.2357
169,68000,134.5732
171,68800,134.4101
173,69600,131.0405
175,70400,136.1359
177,71200,134.3519
179,72000,131.1138
181,72800,136.2531
183,73600,132.6552
185,74400,135.8082
187,75200,132.6533
189,76000,133.6038
191,76800,131.7511
193,77600,134.8625
195,78400,131.3535
197,79200,134.6909
199,80000,133.3836
201,80800,130.9492
203,81600,131.7133
205,82400,135.229
207,83200,132.9876
209,84000,135.1891
211,84800,134.5372
213,85600,131.6488
215,86400,137.9032
217,87200,131.5693
219,88000,135.7714
221,88800,131.8347
223,89600,134.5177
225,90400,133.1054
227,91200,132.959
229,92000,131.594
231,92800,129.3857
233,93600,133.7467
235,94400,133.8326
237,95200,133.0811
239,96000,135.9181
241,96800,134.4739
243,97600,132.6758
245,98400,131.5493
247,99200,133.0258
249,100000,133.8198
251,100800,134.5736
253,101600,135.249
255,102400,131.9897
257,103200,130.8063
259,104000,131.9716
261,104800,130.4713
263,105600,133.6039
265,106400,136.4924
267,107200,135.3937
269,108000,133.1447
271,108800,135.5238
273,109600,135.3207
275,110400,136.2731
277,111200,133.6729
279,112000,136.0568
281,112800,135.1178
283,113600,136.6369
285,114400,134.8398
287,115200,135.3017
289,116000,136.2212
291,116800,136.0035
293,117600,135.0795
295,118400,135.8314
297,119200,135.3917
