episode,timestep,reward
2,800,122.4014
4,1600,140.3811
6,2400,154.6761
9,3200,125.4761
11,4000,105.2116
13,4800,150.5437
16,5600,126.7207
18,6400,109.9272
21,7200,128.8823
23,8000,147.7025
27,8800,95.5192
30,9600,107.1082
32,10400,119.0466
35,11200,134.0692
37,12000,142.2686
39,12800,133.4205
41,13600,156.0024
43,14400,142.3112
45,15200,141.7585
47,16000,138.1907
49,16800,130.1258
52,17600,126.8814
54,18400,145.4313
57,19200,120.232
59,20000,111.8277
62,20800,110.571
65,21600,136.1869
67,22400,123.2235
70,23200,131.9102
72,24000,136.3746
75,24800,123.0163
77,25600,137.6344
80,26400,103.3343
83,27200,120.6436
85,28000,152.897
87,28800,139.2098
90,29600,98.3717
94,30400,90.863
97,31200,107.32
99,32000,138.0558
102,32800,118.7671
104,33600,152.3705
106,34400,120.2829
109,35200,128.7721
111,36000,156.4204
113,36800,140.6322
115,37600,122.0216
119,38400,106.1661
121,39200,143.7347
123,40000,146.9573
125,40800,142.0193
127,41600,130.3019
130,42400,119.5293
133,43200,107.1668
136,44000,109.5402
139,44800,122.3552
141,45600,114.4872
144,46400,138.9766
146,47200,140.2807
148,48000,121.8658
151,48800,112.0096
154,49600,123.2596
156,50400,141.5589
158,51200,139.9844
160,52000,154.4308
163,52800,111.1154
165,53600,133.3753
167,54400,144.4679
169,55200,142.448
172,56000,135.2232
174,56800,142.2404
176,57600,116.6086
179,58400,129.3427
181,59200,131.021
183,60000,121.7085
186,60800,125.1874
189,61600,120.79
191,62400,137.6409
193,63200,149.6429
196,64000,93.5914
198,64800,119.3626
201,65600,116.0829
203,66400,114.7245
205,67200,142.7751
207,68000,137.0892
210,68800,134.9037
212,69600,150.4102
214,70400,149.47
216,71200,113.669
219,72000,142.3327
221,72800,147.803
223,73600,106.9113
225,74400,135.9841
227,75200,138.1475
230,76000,139.6751
232,76800,106.0193
235,77600,136.7827
237,78400,147.0625
239,79200,127.9479
242,80000,128.467
244,80800,130.7017
246,81600,145.9106
249,82400,129.5945
251,83200,146.3003
254,84000,109.8942
256,84800,144.1022
259,85600,108.8431
261,86400,134.8863
263,87200,146.9131
266,88000,124.5244
268,88800,137.2933
270,89600,143.2781
274,90400,99.9693
276,91200,146.0923
278,92000,156.6202
280,92800,152.2224
282,93600,110.0085
285,94400,126.8789
287,95200,143.2329
290,96000,120.2495
292,96800,122.7178
294,97600,153.7987
297,98400,146.3197
299,99200,145.508
301,100000,143.7244
304,100800,106.4572
308,101600,72.5632
310,102400,156.5769
312,103200,141.6684
315,104000,131.0446
318,104800,120.8207
321,105600,106.0939
324,106400,102.7256
327,107200,98.6588
329,108000,143.9651
331,108800,138.0711
334,109600,115.6071
336,110400,150.1128
339,111200,129.5256
342,112000,106.8825
344,112800,141.1905
348,113600,96.8685
351,114400,130.2157
354,115200,112.0714
356,116000,128.2186
358,116800,126.1987
361,117600,126.1199
365,118400,109.9058
368,119200,111.5339
370,120000,151.3581
372,120800,108.4466
375,121600,135.5437
378,122400,104.9171
382,123200,97.7379
385,124000,109.027
388,124800,90.7926
391,125600,117.5904
394,126400,120.3103
396,127200,139.1568
398,128000,124.8426
401,128800,114.6724
403,129600,141.7474
405,130400,120.5998
407,131200,153.2689
410,132000,132.083
412,132800,128.5487
414,133600,137.1133
417,134400,137.401
420,135200,121.4444
422,136000,147.2117
425,136800,92.9449
428,137600,89.8129
431,138400,127.6731
434,139200,105.7125
437,140000,121.0089
439,140800,145.0041
441,141600,106.1622
443,142400,152.1716
446,143200,130.4786
448,144000,127.4311
450,144800,149.8411
453,145600,117.9087
455,146400,148.7038
458,147200,103.2015
461,148000,122.8249
463,148800,127.0209
465,149600,133.772
468,150400,123.263
470,151200,147.1991
473,152000,109.9354
476,152800,124.1867
478,153600,109.372
481,154400,139.5641
483,155200,149.5274
485,156000,126.0994
488,156800,125.0395
490,157600,149.5788
492,158400,123.4602
495,159200,131.4077
497,160000,110.8783
499,160800,152.37
503,161600,91.1133
505,162400,149.9373
509,163200,103.164
511,164000,126.5438
513,164800,143.9149
515,165600,147.8198
517,166400,137.5358
520,167200,136.5889
523,168000,96.3209
526,168800,116.0147
528,169600,141.1845
531,170400,106.4999
534,171200,122.7154
536,172000,135.8479
539,172800,110.884
541,173600,137.4355
543,174400,147.9578
545,175200,143.079
547,176000,146.9406
549,176800,138.1255
552,177600,123.3995
555,178400,115.6534
558,179200,108.0038
560,180000,104.27
562,180800,140.7399
564,181600,141.0375
567,182400,137.0461
570,183200,102.321
572,184000,146.3627
574,184800,133.9639
576,185600,145.0445
578,186400,151.2311
580,187200,144.5203
582,188000,156.8449
585,188800,121.1812
588,189600,121.8661
590,190400,121.4229
592,191200,131.9744
594,192000,150.0755
596,192800,160.6437
598,193600,145.4739
601,194400,136.3728
603,195200,151.0135
605,196000,133.985
608,196800,83.8502
611,197600,121.1347
613,198400,144.4531
615,199200,135.7968
617,200000,147.8882
619,200800,159.0158
622,201600,124.8504
624,202400,148.3441
627,203200,128.9092
629,204000,125.1469
631,204800,138.9712
633,205600,123.6299
635,206400,145.7838
637,207200,143.9475
640,208000,137.3263
642,208800,144.2854
644,209600,140.4939
646,210400,156.3295
648,211200,149.3716
650,212000,153.7166
653,212800,108.2354
655,213600,125.2345
657,214400,130.7355
659,215200,150.2195
662,216000,126.9725
664,216800,130.011
667,217600,140.6323
669,218400,149.2632
672,219200,111.9099
674,220000,160.3988
676,220800,144.5979
678,221600,149.5779
680,222400,116.3165
683,223200,135.1728
685,224000,131.8156
688,224800,127.7958
690,225600,151.759
694,226400,96.2961
696,227200,106.0329
699,228000,138.9814
701,228800,164.9313
704,229600,112.5887
706,230400,121.7861
710,231200,101.9384
712,232000,122.073
714,232800,147.9994
717,233600,141.8879
719,234400,111.2463
722,235200,143.7206
724,236000,143.5826
727,236800,119.0107
729,237600,150.7282
731,238400,149.1401
734,239200,132.5731
736,240000,131.176
739,240800,125.9962
741,241600,149.0107
743,242400,134.1073
746,243200,128.0463
748,244000,147.5155
751,244800,118.8012
753,245600,137.3778
756,246400,127.4734
758,247200,155.1479
760,248000,156.0232
762,248800,124.7334
764,249600,154.8937
766,250400,159.4573
768,251200,150.3001
770,252000,145.4403
773,252800,135.5233
776,253600,104.9176
778,254400,137.7451
781,255200,99.4555
784,256000,123.7822
786,256800,137.1944
789,257600,128.303
792,258400,116.6885
794,259200,150.2277
796,260000,128.4163
798,260800,156.6748
801,261600,124.922
803,262400,123.2012
805,263200,152.6171
807,264000,155.4776
810,264800,122.3336
813,265600,133.6494
816,266400,113.7255
818,267200,151.1854
820,268000,148.3625
822,268800,127.048
825,269600,117.1482
827,270400,140.009
829,271200,148.4102
831,272000,141.1249
833,272800,147.6764
835,273600,142.0121
837,274400,142.4132
839,275200,147.7225
843,276000,106.2753
846,276800,127.0682
848,277600,140.5657
850,278400,139.2784
852,279200,150.8989
854,280000,146.7565
856,280800,149.306
858,281600,160.854
861,282400,122.206
863,283200,162.3964
865,284000,143.6703
868,284800,135.2415
870,285600,126.675
873,286400,121.6821
876,287200,129.7337
878,288000,151.2324
880,288800,132.5476
883,289600,118.2186
885,290400,157.5503
887,291200,151.0899
889,292000,150.7945
891,292800,151.5571
893,293600,145.1071
895,294400,156.7913
897,295200,153.232
900,296000,106.6142
902,296800,149.494
905,297600,143.7197
907,298400,114.8043
909,299200,151.8004
911,300000,132.517
914,300800,128.9812
916,301600,157.4002
919,302400,127.1546
921,303200,159.6652
924,304000,84.8955
926,304800,140.8188
930,305600,114.2561
933,306400,125.6732
935,307200,102.4911
938,308000,138.8626
940,308800,111.0985
943,309600,140.0212
945,310400,150.9536
