episode,timestep,reward
1,800,142.8822
3,1600,145.756
5,2400,149.9526
7,3200,144.667
9,4000,150.7171
11,4800,152.548
13,5600,145.2986
15,6400,144.7268
17,7200,143.1911
19,8000,144.0819
21,8800,147.6563
23,9600,148.3192
25,10400,147.2281
27,11200,151.0398
29,12000,146.2665
31,12800,146.3387
33,13600,147.5071
35,14400,151.3467
37,15200,145.8963
39,16000,144.0141
41,16800,148.2889
43,17600,144.6628
45,18400,143.976
47,19200,148.8396
49,20000,144.7894
51,20800,149.9787
53,21600,144.3277
55,22400,145.1644
57,23200,149.7856
59,24000,146.4295
61,24800,143.2282
63,25600,149.2885
65,26400,147.6823
67,27200,142.8165
69,28000,143.6538
71,28800,148.1973
73,29600,145.7547
75,30400,148.1826
77,31200,144.7854
79,32000,145.2706
81,32800,146.3155
83,33600,151.3607
85,34400,145.6144
87,35200,144.0068
89,36000,148.3988
91,36800,147.3937
93,37600,145.9959
95,38400,147.7696
97,39200,148.8753
99,40000,149.9884
101,40800,146.4454
103,41600,150.1669
105,42400,150.7435
107,43200,145.0132
109,44000,146.4644
111,44800,150.9931
113,45600,148.1348
115,46400,154.9698
117,47200,144.7606
119,48000,149.4938
121,48800,144.8937
123,49600,145.7659
125,50400,146.9629
127,51200,147.758
129,52000,146.8909
131,52800,148.307
133,53600,151.8985
135,54400,147.8084
137,55200,151.9478
139,56000,149.267
141,56800,152.5062
143,57600,149.0896
145,58400,147.6306
147,59200,146.9265
149,60000,153.2165
151,60800,146.9116
153,61600,147.3414
155,62400,149.3587
157,63200,151.9838
159,64000,149.7657
161,64800,149.9836
163,65600,148.7105
165,66400,150.3435
167,67200,151.5995
169,68000,148.5567
171,68800,149.1225
173,69600,146.9988
175,70400,153.9978
177,71200,151.3152
179,72000,145.1339
181,72800,152.6509
183,73600,147.2221
185,74400,151.6045
187,75200,146.6403
189,76000,149.1231
191,76800,143.9668
193,77600,147.7863
195,78400,147.0917
197,79200,148.0891
199,80000,148.352
201,80800,146.1389
203,81600,146.1116
205,82400,150.4151
207,83200,148.4987
209,84000,150.5673
211,84800,147.0873
213,85600,142.029
215,86400,151.4629
217,87200,146.1074
219,88000,153.9198
221,88800,148.1449
223,89600,151.5064
225,90400,147.9436
227,91200,145.43
229,92000,144.5823
231,92800,143.8026
233,93600,150.0286
235,94400,150.4547
237,95200,146.7822
239,96000,150.7454
241,96800,153.4964
243,97600,145.8337
245,98400,147.8957
247,99200,152.0553
249,100000,150.4278
251,100800,149.2721
253,101600,148.123
255,102400,145.8533
257,103200,143.5258
259,104000,147.3158
261,104800,145.8887
263,105600,147.3733
265,106400,148.9236
267,107200,149.3249
269,108000,146.8643
271,108800,149.8649
273,109600,149.7308
275,110400,152.2693
277,111200,147.6168
279,112000,149.714
281,112800,146.0005
283,113600,149.6067
285,114400,148.3268
287,115200,148.0577
289,116000,148.226
291,116800,151.4151
293,117600,150.703
295,118400,148.6092
297,119200,151.2929
299,120000,145.0421
301,120800,146.9415
303,121600,150.7102
305,122400,149.368
307,123200,147.9085
309,124000,149.965
311,124800,152.6872
313,125600,147.4673
315,126400,149.504
317,127200,149.788
319,128000,147.8632
321,128800,149.7559
323,129600,150.8951
325,130400,153.0797
327,131200,151.388
329,132000,147.6324
331,132800,145.5341
333,133600,150.5297
335,134400,148.5558
337,135200,142.9741
339,136000,147.5329
341,136800,151.3736
343,137600,146.1302
345,138400,150.0659
347,139200,151.8791
349,140000,150.3143
351,140800,153.33
353,141600,146.0642
355,142400,146.6301
357,143200,149.9115
359,144000,151.6147
361,144800,151.4841
363,145600,146.7611
365,146400,150.2387
367,147200,150.324
369,148000,147.0802
371,148800,149.8281
373,149600,148.3487
375,150400,153.7684
377,151200,153.7516
379,152000,149.2195
381,152800,152.7141
383,153600,146.9115
385,154400,152.0421
387,155200,149.6478
389,156000,146.723
391,156800,152.7938
393,157600,146.0503
395,158400,148.4888
397,159200,149.0551
399,160000,150.8448
401,160800,148.7159
403,161600,148.0968
405,162400,146.4826
407,163200,147.0299
409,164000,143.3526
411,164800,151.0966
413,165600,146.552
415,166400,150.74
417,167200,150.7966
419,168000,147.4812
421,168800,149.0768
423,169600,147.5619
425,170400,146.4821
427,171200,148.1636
429,172000,146.5527
431,172800,147.0805
433,173600,146.2336
435,174400,143.2972
437,175200,151.7307
439,176000,145.7581
441,176800,147.2939
443,177600,150.6777
445,178400,146.0335
447,179200,146.7243
449,180000,149.033
451,180800,148.3576
453,181600,149.7647
455,182400,146.2414
457,183200,146.3612
459,184000,146.6916
461,184800,150.3263
463,185600,152.7554
465,186400,146.6357
467,187200,144.4217
469,188000,145.3577
471,188800,153.7612
473,189600,149.3088
475,190400,148.4068
477,191200,149.2923
479,192000,148.8851
481,192800,144.0659
483,193600,148.6013
485,194400,149.2589
487,195200,150.6517
489,196000,146.0583
491,196800,151.6951
493,197600,148.0171
495,198400,146.3862
497,199200,146.9408
499,200000,146.69
501,200800,152.7191
503,201600,147.0194
505,202400,147.1875
507,203200,147.707
509,204000,145.4172
511,204800,148.8719
513,205600,145.1807
515,206400,146.7286
517,207200,155.8757
519,208000,149.3456
521,208800,149.375
523,209600,152.0656
525,210400,145.5209
527,211200,149.8672
529,212000,143.1442
531,212800,145.4507
533,213600,153.179
535,214400,148.0098
537,215200,146.4954
539,216000,148.1024
541,216800,144.0538
543,217600,149.308
545,218400,145.322
547,219200,152.2657
549,220000,144.3378
551,220800,149.2575
553,221600,149.1101
555,222400,148.0316
557,223200,149.9895
559,224000,149.6946
561,224800,150.4983
563,225600,151.0391
565,226400,145.1292
567,227200,147.6677
569,228000,150.0795
571,228800,152.694
573,229600,148.6311
575,230400,147.4785
577,231200,146.7461
579,232000,144.5145
581,232800,149.6497
583,233600,149.559
585,234400,146.6265
587,235200,154.8502
589,236000,144.9968
591,236800,147.6963
593,237600,147.1509
595,238400,152.4031
597,239200,149.1681
599,240000,145.2714
601,240800,148.1578
603,241600,148.5736
605,242400,148.6647
607,243200,148.6594
609,244000,150.6788
611,244800,150.656
613,245600,149.1629
615,246400,145.8929
617,247200,147.6683
619,248000,149.888
621,248800,149.1961
623,249600,142.6914
625,250400,150.501
627,251200,147.611
629,252000,146.385
631,252800,146.0386
633,253600,148.5612
635,254400,151.3504
637,255200,146.2479
639,256000,145.7569
641,256800,147.4329
643,257600,144.7888
645,258400,150.0556
647,259200,144.4561
649,260000,148.3266
651,260800,147.5182
653,261600,150.1548
655,262400,143.9909
657,263200,149.154
659,264000,147.4009
661,264800,145.9962
663,265600,150.8583
665,266400,146.5605
667,267200,149.5267
669,268000,147.0662
671,268800,142.4865
673,269600,148.1396
675,270400,148.5192
677,271200,146.2858
679,272000,146.8929
681,272800,146.295
683,273600,147.5947
685,274400,148.4615
687,275200,147.552
689,276000,146.2817
691,276800,150.2466
693,277600,147.0684
695,278400,150.926
697,279200,146.6145
699,280000,147.7044
701,280800,151.9268
703,281600,147.0373
705,282400,149.4063
707,283200,150.5499
709,284000,149.2852
711,284800,145.9747
713,285600,146.2383
