episode,timestep,reward
25,8000,-4898.5297
48,16000,-4934.7187
63,24000,-4864.6829
85,32000,-4898.5022
99,40000,-4915.155
126,48000,-4906.6879
141,56000,-4758.1279
152,64000,-4680.0985
164,72000,-4602.0448
175,80000,-4833.6888
189,88000,-4614.7302
203,96000,-4725.6822
215,104000,-4673.1874
228,112000,-4626.8221
237,120000,-4684.9862
250,128000,-4872.4901
260,136000,-4595.1254
269,144000,-4609.278
277,152000,-4629.9223
286,160000,-4608.5353
294,168000,-4449.5236
301,176000,-4448.0875
309,184000,-3980.0873
316,192000,-4178.6005
322,200000,-3444.4865
328,208000,-3997.0105
333,216000,-3297.4919
339,224000,-3228.6919
344,232000,-2828.1062
350,240000,-2503.6155
355,248000,-1884.5524
361,256000,-1481.981
367,264000,-2055.1112
373,272000,-1122.3226
378,280000,-685.063
384,288000,-1657.5581
392,296000,-1170.7322
397,304000,-564.9772
403,312000,-715.6702
409,320000,-624.4495
416,328000,-951.3242
423,336000,-273.1412
429,344000,279.6005
435,352000,-33.5915
441,360000,-314.0642
447,368000,75.7133
453,376000,89.9117
460,384000,415.2655
465,392000,481.34
472,400000,855.2316
479,408000,758.1129
485,416000,559.7564
492,424000,544.7471
498,432000,245.0746
505,440000,397.8629
512,448000,592.1032
520,456000,236.8777
527,464000,637.5068
534,472000,422.7397
541,480000,575.1242
548,488000,922.3149
556,496000,480.8159
563,504000,734.561
569,512000,912.1609
577,520000,258.7532
585,528000,758.3016
592,536000,729.0014
600,544000,192.5814
608,552000,500.4489
616,560000,-276.147
624,568000,33.7842
632,576000,728.4144
639,584000,423.7298
647,592000,191.9927
653,600000,548.8563
661,608000,574.3268
669,616000,652.8342
677,624000,922.0935
684,632000,770.9458
691,640000,925.5473
698,648000,916.0656
705,656000,853.3892
712,664000,824.3252
719,672000,356.6005
726,680000,378.3559
734,688000,478.1002
741,696000,863.8008
749,704000,74.8854
758,712000,-567.2632
765,720000,389.11
773,728000,1016.3681
780,736000,277.3453
789,744000,319.8711
797,752000,-365.0796
805,760000,590.4555
813,768000,339.6676
821,776000,87.3674
829,784000,-265.7334
836,792000,601.2388
843,800000,990.6821
850,808000,573.8426
858,816000,166.373
865,824000,463.3463
873,832000,212.61
880,840000,-45.8745
889,848000,-345.5092
897,856000,-90.1712
905,864000,-908.8958
912,872000,238.7774
918,880000,181.5725
926,888000,-251.286
934,896000,-876.0993
942,904000,-348.1187
949,912000,-431.496
957,920000,-516.6467
967,928000,-1255.855
976,936000,-917.9583
983,944000,-666.9512
991,952000,-475.5071
998,960000,-78.1769
1004,968000,1032.9588
1011,976000,137.305
1017,984000,1699.6036
1024,992000,598.9918
1031,1000000,681.6646
1039,1008000,-220.0786
1046,1016000,1142.4675
1052,1024000,1798.1861
1059,1032000,862.1443
1067,1040000,101.3063
1075,1048000,-309.574
1083,1056000,-184.8777
1090,1064000,683.9374
1097,1072000,934.3883
1103,1080000,1456.1772
1110,1088000,694.3792
1117,1096000,1656.3699
1123,1104000,2338.5932
1129,1112000,1885.5654
1135,1120000,1223.4641
1142,1128000,1739.6328
1148,1136000,2433.591
1154,1144000,2479.8381
1160,1152000,2661.9727
1167,1160000,2012.7891
1173,1168000,2029.5613
1179,1176000,1011.3793
1185,1184000,3059.9005
1192,1192000,1542.1466
1198,1200000,2600.4278
1204,1208000,2087.3851
1210,1216000,2052.6658
1216,1224000,1864.8269
1222,1232000,1716.659
1228,1240000,2586.5629
1235,1248000,2494.5198
1241,1256000,2287.6383
1247,1264000,2863.6384
1253,1272000,3009.3943
1259,1280000,3236.805
1265,1288000,3049.663
1271,1296000,3241.4085
1277,1304000,2587.0624
1284,1312000,2557.0171
1290,1320000,3278.7589
1296,1328000,2011.8049
1302,1336000,2203.7917
1308,1344000,2745.1098
1314,1352000,3241.0258
1320,1360000,3115.35
1326,1368000,2914.0046
