episode,timestep,reward
10,8000,[-4455.4046]
20,16000,[-4290.7589]
32,24000,[-4523.9784]
43,32000,[-4511.2477]
52,40000,[-4342.0708]
58,48000,[-4174.437]
66,56000,[-4089.455]
75,64000,[-4275.6176]
81,72000,[-3670.2169]
88,80000,[-3923.3644]
93,88000,[-3460.9935]
98,96000,[-3501.6518]
102,104000,[-3828.8437]
107,112000,[-3480.3839]
112,120000,[-2684.2598]
116,128000,[-2707.5234]
121,136000,[-2369.3064]
125,144000,[-3448.7155]
129,152000,[-1176.9795]
133,160000,[-3027.8676]
137,168000,[-1521.4939]
140,176000,[-1641.6851]
144,184000,[-2196.1899]
148,192000,[-2061.6327]
151,200000,[-1814.3579]
154,208000,[-1560.2685]
159,216000,[-2092.8415]
163,224000,[-1836.4338]
166,232000,[-842.1769]
170,240000,[-1491.5221]
173,248000,[-57.3839]
178,256000,[-1945.9218]
181,264000,[-1134.4789]
186,272000,[-1028.2719]
190,280000,[-737.0856]
193,288000,[141.9426]
196,296000,[393.1715]
199,304000,[272.6952]
203,312000,[341.2375]
206,320000,[677.0384]
208,328000,[1137.2282]
211,336000,[2486.5743]
213,344000,[1234.7476]
215,352000,[972.5799]
218,360000,[1463.5631]
220,368000,[970.7856]
222,376000,[1217.7384]
224,384000,[2160.8112]
226,392000,[1692.1319]
229,400000,[1764.4621]
232,408000,[829.5303]
234,416000,[1737.0152]
236,424000,[1744.3143]
238,432000,[3884.9739]
241,440000,[3054.1469]
243,448000,[3383.707]
246,456000,[2226.563]
248,464000,[2319.4668]
251,472000,[2002.1911]
253,480000,[3201.6988]
256,488000,[2326.2452]
259,496000,[2987.0813]
262,504000,[2488.4218]
264,512000,[2271.0725]
267,520000,[2450.7562]
271,528000,[977.0364]
273,536000,[2519.5742]
276,544000,[2030.8806]
279,552000,[3840.3468]
281,560000,[2675.5928]
284,568000,[2705.7906]
287,576000,[2704.7741]
289,584000,[3787.9397]
292,592000,[3248.7102]
295,600000,[4064.6393]
297,608000,[3603.3388]
300,616000,[3643.7267]
303,624000,[4015.8167]
306,632000,[3000.9931]
309,640000,[2632.7233]
311,648000,[2842.5459]
314,656000,[2828.3863]
