episode,timestep,reward
5,8000,[-4679.2722 -4827.5137 -4488.0555 -4592.4513 -4673.7949]
10,16000,[-4397.9124 -4644.2434 -4304.806  -4358.4675 -4549.1909]
13,24000,[-4648.5535 -4583.3992 -1746.2663 -2051.4599 -4490.0034]
17,32000,[-3508.099  -1863.5805 -2380.105  -2598.8638 -3418.1291]
21,40000,[-1661.5114 -1856.1841 -1452.1206 -3330.6834 -1922.2754]
25,48000,[-1122.0123   349.9722  -438.5613  -627.802   -664.3772]
29,56000,[  685.8685    81.9581 -1829.04    -449.0527  -284.8239]
34,64000,[1145.9819 1805.2992 1226.8885 1128.4057  680.5017]
38,72000,[2932.9822 1776.4522 1862.0197  159.124  -426.7724]
42,80000,[2179.7642 1889.2156 1628.7829 1200.3695  455.2695]
46,88000,[2368.5863 2701.2097 1063.1855  481.6858 1490.7196]
51,96000,[2686.0776 2345.9887 1885.846  1969.2893 2325.8246]
55,104000,[2922.9468 2822.837  2729.586  1668.0001 2168.4907]
59,112000,[3382.574  2551.9827 2360.7976 1890.2189 2135.7207]
64,120000,[2081.6796 2486.708  2156.6825 1660.2299 1576.9029]
69,128000,[3067.7565 2317.9727 1754.8241 2066.816  2238.4079]
73,136000,[2923.4735 3143.729  2605.1913 2077.3774 1922.0613]
78,144000,[3389.9325 3096.8174 2380.4895 2313.2375 2380.5754]
82,152000,[3659.4221 3312.3156 2890.9224 2016.2536 2362.0554]
87,160000,[3323.8244 2742.3272 3043.3692 2467.3608  473.1779]
91,168000,[3577.8665 2786.6275 2112.4226 1481.7621 2425.0889]
95,176000,[3959.8433 2625.3195 2805.9282  249.0005 2760.6496]
99,184000,[4518.4836 3059.4865 3388.048  3144.9636 2380.8724]
103,192000,[3792.4873 4059.7178 2757.5716 2383.3463 2532.8051]
107,200000,[4766.0657 3074.9134 3269.4221  516.1174 2204.1274]
110,208000,[4189.7029 3041.5993 3589.6586 3132.8571 2678.8523]
114,216000,[4267.5637 4082.4379 3657.7628 3131.6825 3258.0108]
118,224000,[4716.904  4109.3556 3495.4305 3058.3826 3303.3549]
122,232000,[4984.4953 4442.8366 3350.0594 3565.556  3225.3142]
126,240000,[5226.1432 4917.218  3289.5274 3623.74   3667.4883]
130,248000,[5247.671  4964.9535 3761.578  3965.8961 4220.9423]
133,256000,[5875.0099 4870.9078 4744.4762 4100.4708 4118.4656]
137,264000,[5947.9622 5813.999  5440.8694 5191.6    4121.6041]
140,272000,[7311.2898 5884.473  5916.0196 5735.9871 4660.3077]
143,280000,[6595.5643 6454.5542 5435.0011 5648.719  5418.2814]
146,288000,[6777.2358 6096.9184 5558.2353 5094.7496 4550.8502]
149,296000,[7108.6326 6754.3158 7791.7687 5617.6073 5136.3912]
152,304000,[7212.626  8444.5252 6448.6046 5805.3478 5936.7816]
155,312000,[6616.7857 6712.0084 6577.0177 5924.4938 2150.184 ]
159,320000,[6307.4279 6275.6926 4849.9498 5242.6323 4439.2213]
162,328000,[7172.9956 6103.3428 6180.2548 5623.2029 4206.0493]
165,336000,[6809.1239 6486.1703 5595.1285 6000.3233 5326.3617]
168,344000,[6900.7499 6568.8698 6202.56   6454.975  2358.0432]
171,352000,[6996.4084 6490.7892 5590.3291 5624.7776 4160.3418]
174,360000,[7583.8171 6080.6824 2540.7189 5637.9016 6721.221 ]
178,368000,[6999.141  6361.4294 3740.8076 4895.4956 5514.7567]
181,376000,[6991.073  7881.8717 6082.7845 5066.5542 5117.3175]
184,384000,[6572.2497 7367.3906 5561.3359 4596.8358 5488.7973]
187,392000,[6767.2907 6783.7973 5610.8928 5260.0889 4913.0136]
190,400000,[6831.7506 8176.9031 2840.43   6196.1451 5781.3247]
194,408000,[7411.7236 8592.1846 4910.2828 5074.7414 3959.8189]
197,416000,[6011.898  4929.8762 7516.9695 4267.6743 4247.4316]
200,424000,[ 7957.5888 10134.3901  4556.35    6624.5356  6732.0259]
203,432000,[7614.8854 7627.3047 3405.9449 6845.2614 6357.9722]
206,440000,[12251.2528  7797.8152  8369.6075  7847.4442  9056.2694]
209,448000,[8810.5798 5366.4307 5097.4823 5369.7841 6469.8286]
212,456000,[13201.5393 10190.1465  6919.3236  6466.4269  6710.4226]
215,464000,[6647.0789 4650.796  7076.3224 9548.3337 5687.2246]
218,472000,[8827.9784 9412.9309 6242.1932 6389.832  8929.9734]
222,480000,[5531.9929 7533.2468 6609.2583 5846.4522 6246.8668]
225,488000,[6759.6453 5606.3064 5035.4228 4869.3211 6856.726 ]
228,496000,[6283.8525 8236.6424 5221.1318 7281.9278 7518.1162]
231,504000,[13408.8401  7707.7428  5289.8943  6680.8314  6890.6254]
234,512000,[7098.8002 9742.6378 7810.0718 5300.5928 7459.9732]
237,520000,[7239.4448 6974.3745 5973.2024 7566.3946 7229.6294]
240,528000,[11028.4377  8467.3038 11719.3211  6455.194   7538.5419]
243,536000,[ 9224.4674  8896.4076 10219.0438 10104.7394  7532.2188]
246,544000,[9127.4074 9076.8416 8332.0966 5601.3331 4995.0162]
249,552000,[9292.6328 7204.5048 7740.6388 9990.326  3609.7662]
253,560000,[8567.594  6212.836  6385.1114 5926.1223 7288.9297]
256,568000,[8673.3336 6907.5898 6316.634  6234.0926  926.9369]
259,576000,[5347.8744 3867.8605 3267.2468 5257.2669 3698.7675]
262,584000,[5132.5533 6027.6468 1829.9341 5982.3857 7551.0656]
266,592000,[6389.3435 5996.686  4847.4306 3707.6088 2794.7409]
269,600000,[6931.9627 6555.0805 4885.7926 4429.5081 4527.865 ]
