episode,timestep,reward
5,8000,[-4921.4287]
11,16000,[-4651.5617]
17,24000,[-4786.0331]
25,32000,[-4803.0342]
30,40000,[-4593.0082]
36,48000,[-4849.6806]
42,56000,[-4748.0333]
48,64000,[-4737.0214]
56,72000,[-4788.2907]
61,80000,[-4810.4643]
65,88000,[-4688.4312]
70,96000,[-4565.1799]
74,104000,[-4585.8865]
79,112000,[-4747.9931]
83,120000,[-4760.659]
87,128000,[-4472.1921]
91,136000,[-4771.0033]
94,144000,[-4692.1503]
97,152000,[-4805.0132]
101,160000,[-4865.7476]
105,168000,[-4706.0905]
111,176000,[-4949.1021]
115,184000,[-4660.4313]
118,192000,[-4917.7917]
121,200000,[-4682.8947]
125,208000,[-4554.3348]
130,216000,[-4821.2565]
135,224000,[-4664.9667]
141,232000,[-4884.7657]
145,240000,[-4651.7626]
148,248000,[-4842.0452]
153,256000,[-4665.3394]
159,264000,[-4629.803]
165,272000,[-4796.5428]
169,280000,[-4802.0236]
172,288000,[-4529.9218]
175,296000,[-4923.2219]
181,304000,[-4665.9768]
186,312000,[-4872.1421]
189,320000,[-4579.3822]
193,328000,[-4731.2955]
200,336000,[-4833.0706]
204,344000,[-4823.8414]
209,352000,[-4748.4794]
214,360000,[-4674.8465]
219,368000,[-4817.2166]
225,376000,[-4752.2092]
231,384000,[-4656.398]
237,392000,[-4835.8833]
242,400000,[-4823.9219]
248,408000,[-4830.2242]
253,416000,[-4735.4521]
258,424000,[-4462.7104]
264,432000,[-4480.7869]
269,440000,[-4226.5156]
273,448000,[-4614.3749]
277,456000,[-4142.9366]
281,464000,[-3840.8503]
286,472000,[-4053.9714]
291,480000,[-3529.599]
296,488000,[-4137.5197]
301,496000,[-3585.9362]
306,504000,[-3810.3398]
311,512000,[-3556.699]
317,520000,[-3469.3471]
322,528000,[-3160.9579]
327,536000,[-3044.8205]
331,544000,[-2809.5945]
336,552000,[-2053.8608]
341,560000,[-1873.13]
346,568000,[-1712.725]
351,576000,[-1401.8828]
356,584000,[-1533.1247]
360,592000,[-1444.1295]
366,600000,[-1492.4749]
371,608000,[-1863.7904]
377,616000,[-1901.1893]
383,624000,[-1870.9496]
389,632000,[-1658.2379]
394,640000,[-1182.2743]
400,648000,[-920.9781]
405,656000,[-871.4334]
