episode,timestep,reward
10,8000,[-4910.8682 -4830.2828 -4852.4533 -4839.9168 -4850.1356]
14,16000,[-4726.2457 -4946.791  -4856.4056 -4977.8403 -4920.4386]
19,24000,[-4956.4667 -4756.1486 -4795.5498 -4790.1327 -4767.077 ]
22,32000,[-4818.0468 -4876.7902 -4713.0645 -4722.216  -4199.3519]
26,40000,[-4861.6487 -4620.4584 -4668.6447 -4838.9045 -4691.4142]
30,48000,[-4795.0648 -4600.3172 -4458.4255 -4204.7888 -4552.6688]
35,56000,[-4661.5649 -4756.7381 -4620.5523 -4686.2436 -4492.1853]
37,64000,[-4414.2643 -4462.5323 -4645.4363 -4506.7541 -4412.8776]
40,72000,[-3946.8611 -3699.7877 -4562.2891 -4130.2864 -4175.5718]
42,80000,[-3433.3157 -3957.626  -4089.0229 -3817.2827 -4024.6727]
45,88000,[-3238.6547 -2361.6955 -2559.7798 -3157.5904 -3236.7587]
47,96000,[-2982.9663 -3522.3451   395.1405 -3242.5428 -1377.6887]
49,104000,[-497.0118  186.3175 2470.824  -796.6872 -652.7276]
51,112000,[-851.1652 -367.0882  495.1051 1435.9661  539.424 ]
54,120000,[1575.5163 1186.8267 1556.6995 1344.5684  359.7939]
57,128000,[2405.6461 2568.7337 2114.2677 2500.4251 3093.276 ]
60,136000,[2470.3165 2379.0194 2457.8824 2621.7923 2533.0384]
64,144000,[3113.3534 2293.1701 2609.4791 1764.8546 2549.5844]
67,152000,[2697.5295 2207.5189 1799.0657 2532.1313 2992.3578]
71,160000,[2845.7869 2531.7158 2598.6648 2285.4051 2920.5966]
75,168000,[2448.8027 1735.5138 2049.6939 2267.8676 2545.767 ]
80,176000,[2084.4401 1450.5587 2100.7594 1992.9465 1751.9349]
84,184000,[2646.7239 2467.2506 2224.4381 2537.868  2587.2976]
89,192000,[2603.9191 2876.9879 3157.1362 3143.8662 2596.7044]
