episode,timestep,reward
1,8000,[ 5949.8127 -2356.7131 -3727.3609 -5000.      1426.9117]
5,16000,[-1160.5335  -787.9456  -110.9614   848.0376 -1967.6515]
8,24000,[  333.7946 -1375.8184  -376.204  -1800.3497   -13.7096]
12,32000,[  303.7596 -1234.0703   685.0255 -1410.5779   -31.5881]
16,40000,[ 380.9799  214.4379 1707.5417 1509.5393  621.0892]
19,48000,[ 885.2791  789.4937  313.7891 1279.004  1862.395 ]
23,56000,[1554.438   441.8253 1288.5852 -702.2881 1417.4686]
28,64000,[ 922.9907 1172.9844  895.8508 1441.2513 1031.1956]
32,72000,[1780.0345 1810.6247 2224.1259 1908.6277 2404.5049]
36,80000,[2385.1823 2351.2561 1561.8394 1153.2618 1999.553 ]
40,88000,[2433.1655 1859.4767 3013.5576 2036.7086 1870.3365]
43,96000,[2746.4541 4275.703  3427.4519 3350.9521 3294.4729]
46,104000,[4847.1858 4103.8272 5163.2678 4935.1052 5332.0035]
48,112000,[6127.9808 6870.7525 6320.6174 6229.1443 6202.2091]
51,120000,[6722.6403 6573.953  7281.6852 6332.0714 7022.8419]
54,128000,[6568.8892 6920.5952 6614.6047 6902.4649 6616.1188]
57,136000,[6812.5407 6834.5701 7094.5473 4881.6013 8461.3746]
60,144000,[6992.5865 6616.3481 6327.1381 6381.2442 6610.8509]
63,152000,[6980.1397 6686.0648 7256.595  6870.659  7556.2073]
65,160000,[6897.1143 6561.8541 7302.3382 7426.299  6899.8289]
