episode,timestep,reward
3,8000,[-4239.3782 -4402.2229 -4881.3842 -4392.3896 -4609.3056]
6,16000,[-4786.4695 -2761.2956 -4358.8384 -4779.6234 -4667.6346]
12,24000,[-4650.4185 -4502.7158 -4451.1184 -4701.7936 -4542.3115]
17,32000,[-4492.953  -4536.4979 -4720.664  -4640.0741 -4398.011 ]
20,40000,[-4414.6358 -4408.1316 -4453.1918 -4776.5767 -4458.9014]
23,48000,[-4446.2445 -4460.9921 -3998.9874 -4730.5926 -4448.8265]
26,56000,[-4117.7441 -3819.8487 -4713.5488 -4251.216  -3971.8491]
28,64000,[-3699.4439 -4898.241  -4138.1693 -3399.2011 -3662.0118]
31,72000,[-3236.3018 -3827.7865 -3525.919  -3343.8441 -3508.1808]
33,80000,[-3731.5425 -3077.376  -4014.2103 -4265.718  -4323.7508]
35,88000,[-4126.9445  -782.108  -1122.4486 -3995.3263 -3678.871 ]
38,96000,[-3607.3376 -4142.2648 -2183.3798 -4595.0776 -2436.0715]
41,104000,[-4580.3907 -4300.6765 -4487.188  -4011.0659 -4797.0151]
44,112000,[-4202.8291 -4506.5518 -4503.3756 -4760.2414 -1919.9436]
47,120000,[-4723.039  -4576.1024 -4096.5055 -4459.285  -4568.7069]
52,128000,[-4536.5246 -4576.8881 -4165.812  -4708.7158 -4623.8599]
55,136000,[-3840.1262 -4747.9041 -4191.2152 -4688.1948 -4059.3645]
57,144000,[-4780.6914 -3704.7573 -4806.3701 -3642.6493 -4671.3791]
61,152000,[-4402.9896 -4558.0436 -4474.6387 -4303.885  -4573.764 ]
66,160000,[-4302.029  -4717.6169 -4157.8895 -4598.7579 -4405.6152]
73,168000,[-4523.6878 -4553.724  -4468.5486 -4467.2609 -4514.3378]
79,176000,[-4617.0791 -4632.3745 -4531.2524 -4273.9041 -4444.184 ]
85,184000,[-4603.7841 -4420.6271 -4565.8177 -4577.4348 -4725.724 ]
90,192000,[-4798.9961 -4222.6403 -4799.9719 -4400.7394 -4402.9276]
97,200000,[-4704.1018 -4203.1703 -4629.9584 -4582.6461 -4492.296 ]
106,208000,[-4651.8725 -4526.0823 -4564.3488 -4592.855  -4523.1392]
109,216000,[-4705.0458 -4501.344  -3875.8661 -3789.3322 -4333.2213]
113,224000,[-4307.0515 -3776.2991 -4115.1117 -4363.3495 -4260.2377]
121,232000,[-4537.8851 -4347.9023 -4662.8375 -4611.7575 -4822.8053]
127,240000,[-4150.634  -4567.6747 -4601.5798 -4630.9426 -4431.8184]
133,248000,[-3928.4351 -3958.8462 -4370.3456 -4600.8355 -4536.484 ]
138,256000,[-4562.5502 -4413.5087 -4489.4928 -3757.3914 -4377.1464]
