episode,timestep,reward
3,8000,[-3120.5085 -2734.3953 -4472.086  -4678.3781 -4840.1015]
6,16000,[-3715.4361 -3319.4666 -3523.4661 -4124.7476 -4932.4961]
10,24000,[-3421.4014 -3610.7443 -4293.5959 -4621.8367 -4976.3329]
13,32000,[-2819.6219 -3453.2624 -3679.6573 -4157.346  -4950.9859]
16,40000,[-2519.1185 -2921.4569 -4563.6864 -4680.4454 -4969.8411]
20,48000,[-3733.7632 -1951.6164 -4143.0217 -4479.3822 -4584.0717]
23,56000,[-2504.2394 -2267.7014 -4343.7295 -4509.9303 -4796.8321]
26,64000,[-2041.4761 -2709.1491 -4422.2209 -4514.6098 -4893.9764]
28,72000,[-2869.9026 -2616.6537 -4413.2057 -4216.0933 -4931.8024]
30,80000,[ 1990.7856 -2936.0584 -4079.1368 -3407.4604 -4583.5621]
33,88000,[-3162.3675 -2958.3813 -3911.3035 -4942.2671 -4911.5245]
35,96000,[-1409.3052 -3738.1348 -4483.6325 -4939.0675 -4994.8198]
37,104000,[ -656.402  -3744.3849 -4497.7068 -4956.3446 -4954.0652]
39,112000,[ 1610.2288 -3245.5934 -4112.8657 -4487.7683 -4947.6267]
42,120000,[-2187.0952 -3012.2621 -3499.1486 -4493.2979 -4988.9619]
44,128000,[-3340.7436 -3905.2611 -4926.4908 -4885.5087 -4580.7475]
47,136000,[-1447.082  -3665.5176 -3982.959  -4488.534  -4950.0588]
49,144000,[ 1645.3731 -4449.2973 -3769.8045 -4549.7892 -4926.2016]
51,152000,[-1193.3234 -3829.8197 -2911.926  -4182.8326 -4942.189 ]
54,160000,[-3172.8507 -4412.2463 -4451.6347 -4501.9292 -4946.9836]
56,168000,[ -764.31   -3660.6339 -3734.294  -4992.4318 -4975.9394]
58,176000,[-3939.0577  1326.4494 -5000.     -4433.8917 -4909.8271]
60,184000,[-2507.8358 -3701.1039 -3941.3094 -4673.0963 -4780.781 ]
62,192000,[-2115.3407 -2900.4216 -4767.5754 -4931.9998 -5000.    ]
64,200000,[-2467.9419 -4235.6931 -4586.004  -4704.5755 -4959.0535]
68,208000,[-3456.5006 -4398.7071 -4293.1463 -4470.2438 -4912.8469]
70,216000,[-2857.0811 -3743.2185 -4829.7515 -4573.6957 -4901.0137]
72,224000,[-3036.8006 -3840.3082 -5000.     -4461.4362 -4860.9162]
74,232000,[ -537.6962 -3960.2327 -4710.6663 -4469.662  -4805.8539]
78,240000,[-3126.1897 -4496.8136 -4609.9566 -4275.918  -4777.1771]
81,248000,[-4331.111  -4064.5702 -4329.1248 -4583.6167 -4530.5102]
86,256000,[-4176.8172 -4733.3879 -4268.0083 -4815.6583 -4924.1796]
89,264000,[-3550.0677 -5000.     -4412.0633 -4932.881  -4550.8561]
95,272000,[-4597.0752 -4498.4824 -4319.6551 -4943.6134 -4811.3057]
98,280000,[-4422.9961 -3671.6464 -4560.0251 -4583.208  -4919.9287]
102,288000,[-4120.0596 -3809.9053 -4678.4838 -4788.8688 -4824.0967]
105,296000,[-4462.2554 -4209.5952 -4566.4372 -4689.7397 -4992.0481]
108,304000,[-4415.887  -4029.7235 -3785.1434 -4708.9851 -5000.    ]
110,312000,[-4238.7118 -4004.4841 -4558.1915 -4217.6146 -4828.9499]
115,320000,[-4143.5563 -4220.2299 -3566.619  -4289.133  -4658.7765]
120,328000,[-4677.9998 -4477.8182 -4813.4074 -4757.5693 -4575.5801]
123,336000,[-4496.5009 -4216.9439 -4140.7481 -4084.7047 -4952.1366]
129,344000,[-4684.6243 -4949.7513 -4042.2443 -4777.8212 -4819.8458]
134,352000,[-4819.4292 -4001.2696 -4513.1876 -4421.8559 -4651.7079]
136,360000,[-4834.7051 -2389.3959 -4515.4414 -4525.3443 -4809.7203]
139,368000,[-4445.4943 -4399.2687 -3811.1193 -4462.2433 -4804.0636]
142,376000,[-4260.1984 -3618.5074 -2098.9382 -4288.7661 -4434.0709]
146,384000,[-4088.9566 -3206.3845 -4494.5302 -4322.388  -4568.479 ]
149,392000,[-4360.4844 -3566.5063 -3882.4991 -4024.4439 -4722.2194]
153,400000,[-4605.0787 -3745.1374 -4574.8735 -3371.0879 -4724.368 ]
157,408000,[-4687.6923 -4063.4487 -3618.433  -4344.2987 -4616.5124]
161,416000,[-4648.4977 -4335.4788 -3873.9268 -4510.3708 -4630.0662]
164,424000,[-4918.2705 -3699.4769 -3418.4735 -3707.2222 -4864.7847]
169,432000,[-4715.3816 -3527.3859 -3932.7396 -4121.0513 -4522.8509]
173,440000,[-4535.087  -3326.2099 -3935.3104 -3900.7084 -4777.1047]
176,448000,[-4711.2051 -2846.2313 -3556.8864 -4498.4162 -4549.7687]
179,456000,[-4616.2835 -3695.8534 -3927.8068 -4107.3438 -4925.488 ]
182,464000,[-4944.6236 -2231.6413 -4097.1208 -4253.6475 -4802.9576]
185,472000,[-4566.6334 -3497.083  -3250.4133 -3152.6235 -4780.7502]
187,480000,[-4192.6554  -927.2253 -4655.9286 -5000.     -4679.4389]
189,488000,[-3736.5942 -3803.84   -3979.0293 -4301.8961 -4755.077 ]
192,496000,[-3737.4806 -4646.8727 -4627.3209 -4266.3603 -4889.6821]
195,504000,[-4497.1366 -2456.0577 -3952.1    -4559.6177 -4893.1866]
197,512000,[-3705.3862 -1077.6587 -4552.9557 -4981.8885 -4671.6527]
202,520000,[-4332.4952 -4824.9786 -4018.4656 -4020.432  -4822.1811]
205,528000,[-4889.6293 -4135.9439 -3878.7659 -4252.135  -4742.7362]
208,536000,[-4127.2257 -4250.6037 -4328.9021 -4766.6779 -4819.6874]
213,544000,[-4748.011  -4405.6289 -3822.1487 -4056.274  -4953.1644]
