episode,timestep,reward
20,8000,[-4848.5629]
43,16000,[-4855.3764]
63,24000,[-4901.28]
84,32000,[-4852.3978]
97,40000,[-4766.561]
116,48000,[-4780.9561]
131,56000,[-4801.4129]
146,64000,[-4749.3924]
156,72000,[-4447.4319]
168,80000,[-4601.6455]
179,88000,[-4580.8431]
189,96000,[-4519.0522]
199,104000,[-4329.2984]
209,112000,[-4433.9618]
217,120000,[-4292.3935]
225,128000,[-4220.661]
232,136000,[-3764.8949]
238,144000,[-3973.489]
244,152000,[-4172.8767]
249,160000,[-4221.5765]
254,168000,[-3488.082]
260,176000,[-3777.6733]
265,184000,[-3380.2478]
270,192000,[-3104.0763]
274,200000,[-3326.5331]
279,208000,[-3635.4054]
283,216000,[-2963.9525]
288,224000,[-2670.991]
292,232000,[-2101.6778]
296,240000,[-1951.5693]
300,248000,[-1851.896]
304,256000,[-887.1524]
308,264000,[-1569.5235]
312,272000,[-892.043]
316,280000,[-599.1002]
320,288000,[-49.2267]
324,296000,[502.842]
328,304000,[1266.4163]
332,312000,[-130.4822]
336,320000,[785.4407]
339,328000,[1887.5598]
343,336000,[1670.7484]
346,344000,[2071.561]
350,352000,[2163.7378]
353,360000,[2028.4058]
357,368000,[1918.2028]
