episode,timestep,reward
6,8000,[-4320.7518 -4006.8015 -4414.7005 -4397.2414 -4934.6989]
13,16000,[-3968.595  -4567.816  -3798.0661 -4195.8527 -4962.7765]
19,24000,[-3591.8512 -4132.8233 -4457.8235 -4116.388  -4245.1955]
23,32000,[-3344.5635 -4177.0037 -2589.9306 -4921.3778 -4263.6822]
29,40000,[-2972.6877 -3948.9882 -4084.5207 -4299.5137 -4805.4857]
35,48000,[-3188.7437 -1948.8005 -3832.3807 -4559.8253 -4683.3104]
41,56000,[-2911.492  -2799.3555 -3894.4116 -4504.4494 -4951.5613]
47,64000,[-2128.3572 -2485.5853 -3880.7451 -4526.0116 -4703.8365]
53,72000,[-2983.0641 -3352.3253 -3810.9764 -4251.338  -4792.919 ]
58,80000,[-1349.1196 -2379.4334 -3965.8721 -4167.3549 -4880.8378]
65,88000,[-1349.1784 -2445.1552 -3867.5107 -4736.5993 -4673.6928]
72,96000,[-2011.6716 -2064.0384 -4131.3816 -4436.3913 -4766.1505]
78,104000,[-1005.0681 -2563.3302 -3773.5692 -4008.5184 -4725.2515]
85,112000,[ -950.368  -2152.3107 -3303.0107 -4537.0044 -4781.7949]
91,120000,[-1578.2561 -2043.3233 -3742.0477 -4618.532  -4713.1118]
98,128000,[-1846.5681 -2369.3506 -3611.6548 -4768.7506 -4921.4215]
103,136000,[-1412.5281 -2316.4623 -3761.1737 -4633.5555 -4983.1394]
109,144000,[ -235.612  -2402.2902 -3489.6269 -4403.9996 -4721.0533]
115,152000,[ -129.5722 -2401.9971 -2961.5195 -3891.4451 -4889.2852]
120,160000,[ -303.0402 -2657.3069 -4253.9406 -3917.1726 -4724.5795]
125,168000,[  453.2015  -298.1318 -2962.9243 -3970.7284 -4829.9004]
129,176000,[  208.6931  -260.2884 -2159.8878 -4507.7187 -4591.222 ]
133,184000,[  404.7022   453.1902 -3087.8841 -3683.1358 -4833.5888]
137,192000,[ 2749.8046   507.3817 -2780.07   -3497.745  -4918.0706]
142,200000,[ 2851.0291   926.081  -1293.352  -3346.9825 -4730.7976]
