episode,timestep,reward
4,8000,[-4677.3857 -2945.6994 -4573.379  -4513.3073 -4141.9968]
9,16000,[-4693.9265 -4425.1946 -4037.3262 -4533.5008 -3824.2982]
12,24000,[-3969.5127 -3859.0779 -4985.5951 -4716.2411 -4320.033 ]
14,32000,[-4389.6125 -4126.8093 -5000.     -4943.582  -3567.0574]
19,40000,[-4719.7294 -4173.3079 -4164.7952 -4537.9616 -4535.2848]
23,48000,[-4248.139  -2809.5096 -4979.9456 -3612.3851 -4580.4194]
26,56000,[-4705.1405 -4219.3601 -4674.3784 -4209.6583 -4539.9984]
30,64000,[-4624.9706 -4347.0713 -4145.7761 -4357.1349 -4578.3949]
33,72000,[-2701.6932 -4324.7908 -4552.7863 -4100.8028 -4370.51  ]
36,80000,[-4640.5474 -4832.6838 -3906.8287 -4449.3523 -4199.1801]
40,88000,[-4007.8418 -4172.6148 -4286.319  -4360.8583 -4465.2787]
43,96000,[-4155.4604 -4446.4846 -4348.4636 -3745.8505 -4602.4298]
49,104000,[-4235.1247 -4479.6887 -3432.4983 -4313.4377 -4438.5965]
52,112000,[-2191.665  -1799.4218 -4353.068  -4591.2251 -4411.6686]
55,120000,[-4678.3336 -4048.6643 -4613.2164 -4382.2231 -4344.8263]
58,128000,[-4615.5257 -4719.5181 -2386.0195 -4587.3132 -4226.9571]
64,136000,[-4299.4432 -4107.6929 -4440.1212 -3918.1481 -4521.3738]
66,144000,[-1500.192  -4073.6854 -4443.1856 -4573.474  -4938.2629]
70,152000,[-3946.167  -4218.9395 -4836.263  -3073.8146 -4473.9294]
73,160000,[-4547.1066 -4586.8806 -4524.5326 -3692.5619 -4682.6104]
78,168000,[-4168.0014 -4363.4883 -4453.7648 -4110.577  -4253.4467]
81,176000,[-4729.1477 -3856.0599 -4529.1932 -2183.5485 -4082.5617]
85,184000,[-3900.6804 -4909.6518 -4147.3236 -4441.3707 -4520.0268]
88,192000,[-4401.783  -4372.3775 -2445.4875 -4522.2222 -4237.2009]
93,200000,[-4479.1391 -4888.3636 -4652.638  -4254.8383 -3626.6788]
98,208000,[-4387.8187 -4154.0752 -4382.1795 -4539.1869 -4344.1107]
102,216000,[-4000.3718 -4490.7916 -4353.384  -4887.0805 -4481.8166]
105,224000,[-4235.2511 -4604.0184 -4098.1242 -4486.5899 -2253.9601]
109,232000,[-4391.7552 -4022.6744 -4140.6892 -4574.7114 -4718.2317]
113,240000,[-3864.6954 -4577.8778 -4239.4418 -4782.7088 -4226.3528]
118,248000,[-3421.726  -4168.957  -4188.9373 -4438.49   -4610.6694]
121,256000,[-4936.2062 -4616.6827 -4227.5781 -4688.3016 -2662.3378]
124,264000,[-4314.0351 -3933.6533 -2592.5461 -3773.3909 -2375.143 ]
129,272000,[-4757.025  -4910.3277 -4302.3198 -2715.9348 -4253.6688]
134,280000,[-4513.271  -4257.9513 -4194.6803 -4087.6087 -4427.1453]
139,288000,[-4135.2489 -4360.0812 -4523.1137 -4463.2962 -4670.5761]
143,296000,[-3061.5571 -4694.9644 -4815.3227 -4540.0027 -4737.9057]
146,304000,[-3467.352  -4224.6191 -4261.1079 -4964.5728 -1535.3496]
150,312000,[-4811.082  -4312.9586 -4055.4815 -4667.7477 -4189.3025]
153,320000,[-4494.1994 -3708.2514 -4618.8616 -4803.8925 -4738.7178]
157,328000,[-4895.786  -4371.8086 -4484.2504 -4405.3242 -2998.518 ]
159,336000,[-4428.7755 -4978.3076 -4558.6486 -3319.4545 -3913.8719]
161,344000,[-1205.6522  -968.9661 -4513.4814 -3980.0066 -4534.0634]
166,352000,[-4596.7296 -4195.3455 -4190.8795 -3387.4233 -4461.7704]
168,360000,[-4361.8271 -4416.7858 -4604.6615 -4996.1766 -4625.5018]
172,368000,[-2929.0388 -4396.1742 -4614.9505 -3935.1255 -4202.8758]
175,376000,[-4979.7415 -4831.5514 -4758.6156 -2873.9581 -4749.0349]
177,384000,[-1111.8663 -2061.298  -4164.9564 -3755.8601 -3497.2713]
181,392000,[-4544.68   -4677.06   -4020.7609 -2916.6323 -4292.3982]
185,400000,[-4169.4749 -3200.3176 -4412.0784 -4912.3011 -4518.0004]
188,408000,[-3995.8936 -2522.6662 -4497.1457 -4337.9413 -4409.205 ]
191,416000,[-3976.3566 -4277.1223  -386.4943 -4003.0866 -4389.9903]
194,424000,[-3963.3177 -4600.685  -4302.6077 -2104.3028 -4199.1117]
